Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR000MUV	in progress	ENCSR683CSF	released	false		ZNF207 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF766FBO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF259FLW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF040IVH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF274EEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF793BNP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF164TPH.tar.gz	ENCFF940DLC,ENCFF573YWE	""
ENCSR000RSV	in progress	ENCSR656SIB	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBED5	Chip-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF889VCV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF108DJB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF028YTF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF026SJC.tar.gz	""	ENCFF600IRF,ENCFF076GZD
ENCSR000RSZ	in progress	ENCSR077TKJ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF707	eGFP-ZNF707 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF680FDQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF795WEM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF877DLZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF113NGO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF066XKC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF993QER.tar.gz	ENCFF495PKN,ENCFF005NOW	""
ENCSR001IUM	in progress	ENCSR711XNY	released	false		PKNOX1 ChIP-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF738CJZ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF868QNF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF626YYS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF365EBM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF913IJL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225WXW.tar.gz	ENCFF568MVO,ENCFF359OVA	""
ENCSR001VXW	in progress	ENCSR922HGS	released	false	female adult (90 or above years) with mild cognitive impairment	CTCF TF ChIP-seq on middle frontal area 46 tissue female adult (90 or above years) with mild cognitive impairment.	UBERON:0009834	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF132MEM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF302YTU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF781VXM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF268PRY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF907BUG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF015BOS.tar.gz	""	ENCFF654JZP
ENCSR002PIA	in progress	ENCSR775YXE	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB37	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF469JDJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF955ASZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF092FEL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF248JEL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF812IVG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF080OJL.tar.gz	""	ENCFF762KPC,ENCFF218LVT
ENCSR003EBX	in progress	ENCSR834XPX	released	false	male adult (55 years)	CTCF TF ChIP-seq on heart left ventricle tissue male adult (55 years).	UBERON:0002084	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF509EVZ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF835HDG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF247VES.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF949QGQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF623TQY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF850OZE.tar.gz	""	ENCFF532FAO
ENCSR003FXK	in progress	ENCSR168AUX	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens AHDC1	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF474PEU.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF461LKO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF839GNZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF449CJV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225AZM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF726QXX.tar.gz	""	ENCFF943XWL,ENCFF968OLE
ENCSR003HGY	in progress	ENCSR407BEZ	released	false		ZHX2 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF797UZO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF060OBZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF481AFJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF887NIE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF713JHN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF812EUA.tar.gz	""	ENCFF590LTX,ENCFF659TNX
ENCSR003PRH	in progress	ENCSR000EAG	released	true	treated with 25 ng/mL tumor necrosis factor for 6 hours	RELA ChIP-seq on human GM12878 treated with TNFa	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF320NUF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF717GRK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF069RLB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF539CYE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF424OZF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF878VBE.tar.gz	""	ENCFF503FMC,ENCFF405FML,ENCFF694SNI,ENCFF595QCI
