Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	observed signal profile (minus strand)	training and test regions	observed signal profile (plus strand)	models	selected regions for predicted signal and sequence contribution scores	profile sequence contribution scores	counts sequence contribution scores	predicted signal profile	normalized observed signal profile (plus strand)	normalized observed signal profile (minus strand)	observed control profile (plus strand)	observed control profile (minus strand)	alignments	unfiltered alignments	sequence motifs	sequence motifs instances	sequence motifs report	predicted signal profile (plus strand)	predicted signal profile (minus strand)	normalized predicted signal profile (plus strand)	normalized predicted signal profile (minus strand)	bidirectional peaks	unidirectional peaks
ENCSR904MLP	in progress	BPNet-model	GRCh38	ENCSR773REP	released	eGFP-ZBTB7A ChIP-seq on human HEK293 cells.	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB7A	HEK293	cell line	ChIP-seq	false	['ENCFF427NIT.bigWig']	['ENCFF649DVP.tar.gz']	['ENCFF389YNG.bigWig']	['ENCFF660IXC.tar.gz']	['ENCFF394ZKS.bed.gz', 'ENCFF525OJC.bigBed']	['ENCFF784IFU.bigWig', 'ENCFF533XTA.tar.gz']	['ENCFF502HPC.bigWig', 'ENCFF189XJH.tar.gz']	['ENCFF155KHO.tar.gz']	['ENCFF754HWW.bigWig']	['ENCFF735HKD.bigWig']	['ENCFF608HYG.bigWig']	['ENCFF090KUY.bigWig']	['ENCFF421CTJ.bam', 'ENCFF559CGO.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR599LVY	in progress	BPNet-model	GRCh38	ENCSR479QAJ	released	U2AF2 ChIP-seq in K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF464SFB.bigWig']	['ENCFF662JRO.tar.gz']	['ENCFF426GRD.bigWig']	['ENCFF724OUL.tar.gz']	['ENCFF561MRX.bed.gz', 'ENCFF727PMM.bigBed']	['ENCFF550JGJ.bigWig', 'ENCFF256JZQ.tar.gz']	['ENCFF964ZMO.bigWig', 'ENCFF464TGQ.tar.gz']	['ENCFF868ZEG.tar.gz']	['ENCFF122VOJ.bigWig']	['ENCFF469OAB.bigWig']	['ENCFF986PYY.bigWig']	['ENCFF112PTE.bigWig']	[]	['ENCFF946DRU.bam', 'ENCFF417CLS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR886BQG	in progress	BPNet-model	GRCh38	ENCSR130HEG	released	COPS2 ChIP-seq on human K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF463KJG.bigWig']	['ENCFF744IQI.tar.gz']	['ENCFF033TYJ.bigWig']	['ENCFF046ENT.tar.gz']	['ENCFF422HKU.bed.gz', 'ENCFF108MQK.bigBed']	['ENCFF380YON.bigWig', 'ENCFF919FLW.tar.gz']	['ENCFF206YBE.bigWig', 'ENCFF361CEO.tar.gz']	['ENCFF163GZH.tar.gz']	['ENCFF278BBP.bigWig']	['ENCFF056DHJ.bigWig']	['ENCFF564YAI.bigWig']	['ENCFF540QKI.bigWig']	['ENCFF027ZMW.bam', 'ENCFF882PRX.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR216PMI	in progress	BPNet-model	GRCh38	ENCSR000EBT	released	CHD2 ChIP-seq on human H1-hESC produced by the Snyder lab	Homo sapiens H1	H1	cell line	ChIP-seq	false	['ENCFF331YJF.bigWig']	['ENCFF202CGZ.tar.gz']	['ENCFF472WMO.bigWig']	['ENCFF428ULK.tar.gz']	['ENCFF522GJH.bed.gz', 'ENCFF764QLW.bigBed']	['ENCFF116YXB.bigWig', 'ENCFF143IUU.tar.gz']	['ENCFF883UOV.bigWig', 'ENCFF347LGG.tar.gz']	['ENCFF619LKY.tar.gz']	['ENCFF797ZRZ.bigWig']	['ENCFF818PMV.bigWig']	['ENCFF475GOO.bigWig']	['ENCFF717PXN.bigWig']	[]	['ENCFF778OCR.bam', 'ENCFF848MJR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR974JST	in progress	BPNet-model	GRCh38	ENCSR948KMB	released	PTBP1 ChIP-seq in K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF703OIB.bigWig']	['ENCFF812QFR.tar.gz']	['ENCFF770FRZ.bigWig']	['ENCFF940HKJ.tar.gz']	['ENCFF625PBL.bed.gz', 'ENCFF537MAB.bigBed']	['ENCFF564CMV.bigWig', 'ENCFF492WLX.tar.gz']	['ENCFF554SHD.bigWig', 'ENCFF333AVU.tar.gz']	['ENCFF392SGJ.tar.gz']	['ENCFF510HGO.bigWig']	['ENCFF511FCZ.bigWig']	['ENCFF879ZND.bigWig']	['ENCFF109MWI.bigWig']	[]	['ENCFF793PWA.bam', 'ENCFF309BVY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR711RFA	in progress	BPNet-model	GRCh38	ENCSR000EGW	released	SMC3 ChIP-seq on human K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF705XXI.bigWig']	['ENCFF840SOM.tar.gz']	['ENCFF307TTH.bigWig']	['ENCFF562HSI.tar.gz']	['ENCFF242JQL.bed.gz', 'ENCFF595FWO.bigBed']	['ENCFF057RKY.bigWig', 'ENCFF422AOO.tar.gz']	['ENCFF031AJH.bigWig', 'ENCFF659VEA.tar.gz']	['ENCFF081DBO.tar.gz']	['ENCFF499KGH.bigWig']	['ENCFF152XYD.bigWig']	['ENCFF360UUC.bigWig']	['ENCFF015GIS.bigWig']	[]	['ENCFF647RGZ.bam', 'ENCFF043EGZ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR071UKS	in progress	BPNet-model	GRCh38	ENCSR468LUO	released	SIN3A ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF721AAD.bigWig']	['ENCFF476TUY.tar.gz']	['ENCFF192OQD.bigWig']	['ENCFF643TWF.tar.gz']	['ENCFF967FIC.bed.gz', 'ENCFF071BMO.bigBed']	['ENCFF209PSG.bigWig', 'ENCFF874VGM.tar.gz']	['ENCFF894PFW.bigWig', 'ENCFF292RZR.tar.gz']	['ENCFF339MBW.tar.gz']	['ENCFF362HKK.bigWig']	['ENCFF196CKZ.bigWig']	['ENCFF955APV.bigWig']	['ENCFF858IEM.bigWig']	['ENCFF759JJN.bam', 'ENCFF153GCR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR114STH	in progress	BPNet-model	GRCh38	ENCSR532KTI	released	eGFP-GTF2E2 ChIP-seq on human K562	Homo sapiens K562 stably expressing GTF2E2	K562	cell line	ChIP-seq	false	['ENCFF268JVT.bigWig']	['ENCFF540MWB.tar.gz']	['ENCFF600MHS.bigWig']	['ENCFF484RGP.tar.gz']	['ENCFF263YED.bed.gz', 'ENCFF330SJU.bigBed']	['ENCFF607FAT.bigWig', 'ENCFF978ZBI.tar.gz']	['ENCFF387ZBY.bigWig', 'ENCFF607TVL.tar.gz']	['ENCFF978IOH.tar.gz']	['ENCFF031TET.bigWig']	['ENCFF455WDE.bigWig']	['ENCFF635CTB.bigWig']	['ENCFF054DMU.bigWig']	[]	['ENCFF634WZV.bam', 'ENCFF276GJS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR135TUA	in progress	BPNet-model	GRCh38	ENCSR119OFH	released	BRCA2 ChIP-seq on human MCF-7	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens BRCA2	MCF-7	cell line	ChIP-seq	false	['ENCFF667JPX.bigWig']	['ENCFF199RJE.tar.gz']	['ENCFF838DRP.bigWig']	['ENCFF841YDU.tar.gz']	['ENCFF903BNG.bed.gz', 'ENCFF244MUD.bigBed']	['ENCFF909FHF.bigWig', 'ENCFF360MFB.tar.gz']	['ENCFF769NDY.bigWig', 'ENCFF105BVS.tar.gz']	['ENCFF906FCF.tar.gz']	['ENCFF791CYR.bigWig']	['ENCFF461TAX.bigWig']	['ENCFF067HTR.bigWig']	['ENCFF897BVV.bigWig']	['ENCFF307KQS.bam', 'ENCFF015LOS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR486WVP	in progress	BPNet-model	GRCh38	ENCSR096KPA	released		Homo sapiens GM23248	GM23248	cell line	ChIP-seq	false	['ENCFF426DHO.bigWig']	['ENCFF498LHW.tar.gz']	['ENCFF981SIC.bigWig']	['ENCFF541MJQ.tar.gz']	['ENCFF739UVL.bed.gz', 'ENCFF478MWW.bigBed']	['ENCFF869IGE.bigWig', 'ENCFF104MAS.tar.gz']	['ENCFF795RIR.bigWig', 'ENCFF084WUO.tar.gz']	['ENCFF152DUN.tar.gz']	['ENCFF262TEN.bigWig']	['ENCFF083TQJ.bigWig']	['ENCFF342BEO.bigWig']	['ENCFF724VNV.bigWig']	[]	['ENCFF400JQO.bam', 'ENCFF700WAA.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
