Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR000SWL	in progress	ENCSR969QKG	released	false	male adult (48 years)		CL:0000895	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF144BZU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF141BVL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF665AIO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF612OGF.tar.gz	ENCFF682STC	""
ENCSR001PBZ	in progress	ENCSR653ISV	released	false	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours		NTR:0000504	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF133QRN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF166RFN.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF570VBU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF159VOH.tar.gz	ENCFF391RDE	""
ENCSR001QFX	in progress	ENCSR624CTU	released	false			EFO:0010885	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF444WFV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF372FVO.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF809TJZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF273EUT.tar.gz	ENCFF614WUU	""
ENCSR001WKX	in progress	ENCSR820WLP	released	false	male embryo (15 weeks)		NTR:0005063	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF196UHE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF809JEF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF441EJU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF629FZY.tar.gz	ENCFF833UTG,ENCFF381FQU	""
ENCSR003PKQ	in progress	ENCSR385AMY	released	false	male embryo (120 days)		UBERON:0003663	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF234VMP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF733KIB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF818EQN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF918PGG.tar.gz	""	ENCFF028KIR
ENCSR003WJE	released	ENCSR000EMT	released	false		DNase-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF673TIN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF681PTG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF005IJX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF574LOE.tar.gz	""	ENCFF467CXY,ENCFF940NSD
ENCSR003WRD	in progress	ENCSR226LVB	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL Interleukin-4 for 48 hours		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF631KSZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF375DVF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF034HOT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF590APB.tar.gz	ENCFF431XJH	""
ENCSR004CWE	in progress	ENCSR559WMK	released	false	male embryo (72 days)	DNase-seq on 72 day old male human fetal tongue tissue	UBERON:0001723	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF538FAN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF186JJQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF396QLE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF320XIX.tar.gz	ENCFF998LWC	""
ENCSR004IEV	in progress	ENCSR316UDN	released	false	male adult (37 years)		CL:0000625	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF016JSD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF356DHB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF541PMW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF676QSN.tar.gz	ENCFF580KMF	""
ENCSR004INR	in progress	ENCSR531UVE	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF814WJU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF240OZT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF399AFH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF212AUN.tar.gz	ENCFF300YHK	""
