Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	training and test regions	observed signal profile	models	alignments	unfiltered alignments	selected regions for predicted signal and sequence contribution scores	predicted signal profile	bias-corrected predicted signal profile	profile sequence contribution scores	counts sequence contribution scores	bias models	sequence motifs	sequence motifs instances	normalized observed signal profile	normalized predicted signal profile	normalized bias-corrected predicted signal profile	sequence motifs report
ENCSR495VMZ	released	ChromBPNet-model	mm10	ENCSR377YDY	released	ATAC-seq on embryonic e11.5 mouse limb	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	limb	tissue	ATAC-seq	false	['ENCFF032PRA.tar.gz']	['ENCFF837TLV.bigWig']	['ENCFF236MMP.tar.gz']	['ENCFF337KGL.bam', 'ENCFF307BQB.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR498NUZ	released	ChromBPNet-model	mm10	ENCSR000CNU	released	DNase on 1 week adult mouse retina	Mus musculus strain C57BL/6J retina tissue male postnatal (7 days)	retina	tissue	DNase-seq	false	[]	['ENCFF421SVL.bigWig']	[]	[]	['ENCFF159VZV.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR414ZDH	released	ChromBPNet-model	mm10	ENCSR700QBR	released	ATAC-seq on embryonic e14.5 mouse neural tube	Mus musculus strain B6NTac;B6NCrl/Lap neural tube tissue embryo (14.5 days)	neural tube	tissue	ATAC-seq	false	['ENCFF435EBR.tar.gz']	['ENCFF917RYL.bigWig']	['ENCFF941SIQ.tar.gz']	['ENCFF890LAA.bam', 'ENCFF519OFH.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR843KLE	released	ChromBPNet-model	mm10	ENCSR382RUC	released	ATAC-seq on embryonic e11.5 mouse midbrain	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	midbrain	tissue	ATAC-seq	false	['ENCFF229APV.tar.gz']	['ENCFF048IZW.bigWig']	['ENCFF503GTJ.tar.gz']	['ENCFF101USP.bam', 'ENCFF876OCM.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR870FAP	in progress	ChromBPNet-model	GRCh38	ENCSR212LAZ	released	ATAC-seq on human fallopian tube	Homo sapiens fallopian tube tissue female adult (59 years)	fallopian tube	tissue	ATAC-seq	false	['ENCFF475WNC.tar.gz']	['ENCFF678XRJ.bigWig']	['ENCFF238AWM.tar.gz']	['ENCFF237FMA.bam']	[]	['ENCFF364KOH.bed.gz', 'ENCFF248SGL.bigBed']	['ENCFF754NKE.bigWig', 'ENCFF626CRL.tar.gz']	['ENCFF826CHD.bigWig']	['ENCFF888PJN.bigWig']	['ENCFF843OJN.bigWig']	['ENCFF427ZIR.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR533ULZ	released	ChromBPNet-model	mm10	ENCSR032HKE	released	ATAC-seq on embryonic e14.5 mouse liver	Mus musculus strain B6NTac;B6NCrl/Lap liver tissue embryo (14.5 days)	liver	tissue	ATAC-seq	false	['ENCFF198JOA.tar.gz']	['ENCFF590LCU.bigWig']	['ENCFF302KPO.tar.gz']	['ENCFF146AZT.bam', 'ENCFF128LGT.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR638HWZ	released	ChromBPNet-model	mm10	ENCSR012YAB	released	ATAC-seq on embryonic e11.5 mouse hindbrain	Mus musculus strain B6NCrl hindbrain tissue embryo (11.5 days)	hindbrain	tissue	ATAC-seq	false	['ENCFF612UDL.tar.gz']	['ENCFF555DDE.bigWig']	['ENCFF620TIL.tar.gz']	['ENCFF404WLO.bam', 'ENCFF987NBY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR443PIH	released	ChromBPNet-model	mm10	ENCSR150RMQ	released	ATAC-seq on embryonic e11.5 mouse embryonic facial prominence	Mus musculus strain B6NCrl embryonic facial prominence tissue embryo (11.5 days)	embryonic facial prominence	tissue	ATAC-seq	false	['ENCFF772LYD.tar.gz']	['ENCFF102WVN.bigWig']	['ENCFF894OSV.tar.gz']	['ENCFF248ZNN.bam', 'ENCFF346BEW.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR226MTN	released	ChromBPNet-model	mm10	ENCSR282YTE	released	ATAC-seq on embryonic e11.5 mouse neural tube	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	neural tube	tissue	ATAC-seq	false	['ENCFF819MHS.tar.gz']	['ENCFF021IOP.bigWig']	['ENCFF031NTE.tar.gz']	['ENCFF742RLX.bam', 'ENCFF267GKR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR281ETP	released	ChromBPNet-model	mm10	ENCSR460BUL	released	ATAC-seq on embryonic e14.5 mouse limb	Mus musculus strain B6NTac;B6NCrl/Lap limb tissue embryo (14.5 days)	limb	tissue	ATAC-seq	false	['ENCFF204SFW.tar.gz']	['ENCFF946GJM.bigWig']	['ENCFF905ILM.tar.gz']	['ENCFF941YHQ.bam', 'ENCFF949KDH.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR632SIB	released	ChromBPNet-model	mm10	ENCSR000CNJ	released	DNase-seq on embryonic day 14.5 mouse liver	Mus musculus strain C57BL/6J liver tissue male embryo (14.5 days)	liver	tissue	DNase-seq	false	['ENCFF877ORH.tar.gz']	['ENCFF992HBS.bigWig']	['ENCFF053FQE.tar.gz']	[]	['ENCFF952XAI.bam']	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR117PTY	released	ChromBPNet-model	mm10	ENCSR561FZE	released		Mus musculus strain B6NCrl liver tissue embryo (11.5 days)	liver	tissue	DNase-seq	false	['ENCFF244KHZ.tar.gz']	['ENCFF316PHJ.bigWig']	['ENCFF044WHP.tar.gz']	['ENCFF328RDH.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR125VQW	released	ChromBPNet-model	mm10	ENCSR179PIH	released	DNase-seq on 14.5 day embryonic mouse hindbrain	Mus musculus strain B6NCrl hindbrain tissue embryo (14.5 days)	hindbrain	tissue	DNase-seq	false	['ENCFF567ZXO.tar.gz']	['ENCFF356HSI.bigWig']	['ENCFF911DCI.tar.gz']	['ENCFF331MRL.bam', 'ENCFF900WKF.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR566UGU	released	ChromBPNet-model	mm10	ENCSR014SFF	released		Mus musculus strain B6NCrl forebrain tissue embryo (11.5 days)	forebrain	tissue	DNase-seq	false	['ENCFF085KIG.tar.gz']	['ENCFF140KQU.bigWig']	['ENCFF271AKE.tar.gz']	['ENCFF506RDT.bam', 'ENCFF661XTS.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR551DHM	released	ChromBPNet-model	mm10	ENCSR636NXY	released	DNase-seq on 14.5 day mixed embryonic mouse limb	Mus musculus strain B6NCrl limb tissue embryo (14.5 days)	limb	tissue	DNase-seq	false	['ENCFF351NOS.tar.gz']	['ENCFF136RUN.bigWig']	['ENCFF275WOE.tar.gz']	['ENCFF666RLD.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR187FBX	released	ChromBPNet-model	mm10	ENCSR000CNB	released	DNase on 11.5 day (e11.5) embryonic mouse forelimb bud	Mus musculus forelimb bud tissue male embryo (11.5 days)	forelimb bud	tissue	DNase-seq	false	['ENCFF792SBK.tar.gz']	['ENCFF893CAQ.bigWig']	['ENCFF244FWC.tar.gz']	[]	['ENCFF291ZFA.bam', 'ENCFF812DFY.bam']	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR393JKG	released	ChromBPNet-model	mm10	ENCSR661HDP	released	DNase-seq on 11.5 day (e11.5) mixed embryonic mouse limb	Mus musculus strain B6NCrl limb tissue embryo (11.5 days)	limb	tissue	DNase-seq	false	['ENCFF375FBB.tar.gz']	['ENCFF363QSU.bigWig']	['ENCFF067XGA.tar.gz']	['ENCFF165JYH.bam', 'ENCFF182STQ.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR226NMV	released	ChromBPNet-model	mm10	ENCSR652CNN	released	ATAC-seq on embryonic e12.5 mouse heart	Mus musculus strain B6NCrl heart tissue embryo (12.5 days)	heart	tissue	ATAC-seq	false	['ENCFF827VEC.tar.gz']	['ENCFF682IAX.bigWig']	['ENCFF054CFO.tar.gz']	['ENCFF130FMW.bam', 'ENCFF920ADT.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR310TZS	released	ChromBPNet-model	mm10	ENCSR031HDN	released	ATAC-seq on embryonic e12.5 mouse embryonic facial prominence	Mus musculus strain B6NCrl embryonic facial prominence tissue embryo (12.5 days)	embryonic facial prominence	tissue	ATAC-seq	false	['ENCFF841LUJ.tar.gz']	['ENCFF228TGD.bigWig']	['ENCFF927BHN.tar.gz']	['ENCFF984ZYD.bam', 'ENCFF228HHT.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR970BZN	released	ChromBPNet-model	mm10	ENCSR068YGC	released	ATAC-seq on embryonic e14.5 mouse heart	Mus musculus strain B6NTac;B6NCrl/Lap heart tissue embryo (14.5 days)	heart	tissue	ATAC-seq	false	['ENCFF146GKI.tar.gz']	['ENCFF558YRP.bigWig']	['ENCFF621FME.tar.gz']	['ENCFF458FPV.bam', 'ENCFF212VZR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR173UYQ	released	ChromBPNet-model	mm10	ENCSR798FDL	released	ATAC-seq on embryonic e14.5 mouse hindbrain	Mus musculus strain B6NTac;B6NCrl/Lap hindbrain tissue embryo (14.5 days)	hindbrain	tissue	ATAC-seq	false	['ENCFF055AXV.tar.gz']	['ENCFF883WTB.bigWig']	['ENCFF528XQO.tar.gz']	['ENCFF376CJA.bam', 'ENCFF833UEA.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR574HAS	released	ChromBPNet-model	mm10	ENCSR876SYO	released	ATAC-seq on embryonic e14.5 mouse embryonic facial prominence	Mus musculus strain B6NTac;B6NCrl/Lap embryonic facial prominence tissue embryo (14.5 days)	embryonic facial prominence	tissue	ATAC-seq	false	['ENCFF726LJG.tar.gz']	['ENCFF703ZBC.bigWig']	['ENCFF817FFY.tar.gz']	['ENCFF321XSE.bam', 'ENCFF072SUR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR293UHA	released	ChromBPNet-model	mm10	ENCSR000CNF	released	DNase on 11.5 day (e11.5) embryonic mouse hindlimb buds	Mus musculus hindlimb bud tissue male embryo (11.5 days)	hindlimb bud	tissue	DNase-seq	false	['ENCFF918YFI.tar.gz']	['ENCFF589WBH.bigWig']	['ENCFF676WUE.tar.gz']	[]	['ENCFF501KIE.bam', 'ENCFF186HOX.bam']	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR229OZL	released	ChromBPNet-model	mm10	ENCSR785NEL	released	ATAC-seq on embryonic e11.5 mouse liver	Mus musculus strain B6NCrl liver tissue embryo (11.5 days)	liver	tissue	ATAC-seq	false	['ENCFF086QYI.tar.gz']	['ENCFF469FBF.bigWig']	['ENCFF596GBF.tar.gz']	['ENCFF573TTZ.bam', 'ENCFF055IQW.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR782KOZ	deleted	ChromBPNet-model		ENCSR555ZDH	released	ATAC-seq on human lower lobe of left lung	Homo sapiens lower lobe of left lung tissue male adult (60 years)	lower lobe of left lung	tissue	ATAC-seq	false	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR566EUK	released	ChromBPNet-model	mm10	ENCSR302LIV	released	ATAC-seq on embryonic e12.5 mouse liver	Mus musculus strain B6NCrl liver tissue embryo (12.5 days)	liver	tissue	ATAC-seq	false	['ENCFF740RNI.tar.gz']	['ENCFF936VHA.bigWig']	['ENCFF129BPA.tar.gz']	['ENCFF670GZL.bam', 'ENCFF711WTW.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR303KKP	released	ChromBPNet-model	mm10	ENCSR551WBK	released	ATAC-seq on embryonic e12.5 mouse limb	Mus musculus strain B6NCrl limb tissue embryo (12.5 days)	limb	tissue	ATAC-seq	false	['ENCFF323BAM.tar.gz']	['ENCFF070ESW.bigWig']	['ENCFF606BNG.tar.gz']	['ENCFF549HWW.bam', 'ENCFF643FSQ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR491OUP	released	ChromBPNet-model	mm10	ENCSR337EDG	released	DNase-seq on 14.5 day mixed embryonic mouse forebrain	Mus musculus strain B6NCrl forebrain tissue embryo (14.5 days)	forebrain	tissue	DNase-seq	false	['ENCFF573PXR.tar.gz']	['ENCFF457LQV.bigWig']	['ENCFF251GBK.tar.gz']	['ENCFF109OSH.bam', 'ENCFF309PFY.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR797RNF	released	ChromBPNet-model	mm10	ENCSR358ESL	released	DNase-seq on 11.5 day (e11.5) mixed embryonic mouse hindbrain	Mus musculus strain B6NCrl hindbrain tissue embryo (11.5 days)	hindbrain	tissue	DNase-seq	false	['ENCFF518SJQ.tar.gz']	['ENCFF280VBA.bigWig']	['ENCFF186EHP.tar.gz']	['ENCFF060FDJ.bam', 'ENCFF010NCP.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR962UZB	released	ChromBPNet-model	mm10	ENCSR367FCW	released	DNase-seq on 14.5 day mixed embryonic mouse midbrain	Mus musculus strain B6NCrl midbrain tissue embryo (14.5 days)	midbrain	tissue	DNase-seq	false	['ENCFF557DLL.tar.gz']	['ENCFF405OBM.bigWig']	['ENCFF431PYL.tar.gz']	['ENCFF952JXE.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR158PDD	released	ChromBPNet-model	mm10	ENCSR959HKR	released	DNase-seq on 14.5 day mixed embryonic mouse craniofacial tissue	Mus musculus strain B6NCrl embryonic facial prominence tissue embryo (14.5 days)	embryonic facial prominence	tissue	DNase-seq	false	['ENCFF330FXT.tar.gz']	['ENCFF257MGA.bigWig']	['ENCFF424ENU.tar.gz']	['ENCFF201EOU.bam', 'ENCFF916EUB.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR432KJZ	released	ChromBPNet-model	mm10	ENCSR312QVY	released	DNase-seq on 11.5 day (e11.5) mixed embryonic mouse neural tube	Mus musculus strain B6NCrl neural tube tissue embryo (11.5 days)	neural tube	tissue	DNase-seq	false	['ENCFF971TBO.tar.gz']	['ENCFF442OQT.bigWig']	['ENCFF541EGW.tar.gz']	['ENCFF756CAI.bam', 'ENCFF636OEA.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR345GMN	released	ChromBPNet-model	mm10	ENCSR820ACB	released	ATAC-seq on embryonic e11.5 mouse heart	Mus musculus strain B6NCrl heart tissue embryo (11.5 days)	heart	tissue	ATAC-seq	false	['ENCFF342WDN.tar.gz']	['ENCFF268TJJ.bigWig']	['ENCFF750NGU.tar.gz']	['ENCFF108LKO.bam', 'ENCFF488ZAF.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR465POI	released	ChromBPNet-model	mm10	ENCSR273UFV	released	ATAC-seq on embryonic e11.5 mouse forebrain	Mus musculus strain B6NCrl forebrain tissue embryo (11.5 days)	forebrain	tissue	ATAC-seq	false	['ENCFF271GRZ.tar.gz']	['ENCFF899HXE.bigWig']	['ENCFF501TIK.tar.gz']	['ENCFF765GMR.bam', 'ENCFF317LET.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR031VGX	released	ChromBPNet-model	mm10	ENCSR292QBA	released	DNase-seq on 11.5 day (e11.5) embryonic mouse midbrain	Mus musculus strain B6NCrl midbrain tissue embryo (11.5 days)	midbrain	tissue	DNase-seq	false	['ENCFF319XVZ.tar.gz']	['ENCFF444JIR.bigWig']	['ENCFF858GDY.tar.gz']	['ENCFF989BPL.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR352WOM	released	ChromBPNet-model	mm10	ENCSR196VDE	released	DNase-seq on 11.5 day (e11.5) mixed embryonic mouse craniofacial tissue	Mus musculus strain B6NCrl embryonic facial prominence tissue embryo (11.5 days)	embryonic facial prominence	tissue	DNase-seq	false	['ENCFF612TZB.tar.gz']	['ENCFF549XYM.bigWig']	['ENCFF715EMI.tar.gz']	['ENCFF965DQL.bam']	[]	[]	[]	[]	[]	[]	['ENCFF653EXG.tar.gz']	[]	[]	[]	[]	[]	[]
ENCSR982XXE	in progress	ChromBPNet-model	GRCh38	ENCSR174SUM	released		Homo sapiens activated naive CD4-positive, alpha-beta T cell male adult (48 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours	activated naive CD4-positive, alpha-beta T cell	primary cell	ATAC-seq	false	['ENCFF086XRN.tar.gz']	['ENCFF160RHF.bigWig']	['ENCFF888WIB.tar.gz']	['ENCFF354BOL.bam', 'ENCFF914JEV.bam']	[]	['ENCFF884QVS.bed.gz', 'ENCFF288ZBI.bigBed']	['ENCFF567YQZ.bigWig', 'ENCFF786NJW.tar.gz']	['ENCFF064XOF.bigWig', 'ENCFF981GHS.tar.gz']	['ENCFF146MVX.bigWig', 'ENCFF312CGE.tar.gz']	['ENCFF607KHI.bigWig', 'ENCFF347CFH.tar.gz']	['ENCFF881REW.tar.gz']	['ENCFF303JIL.tar.gz']	['ENCFF233TDV.tar.gz']	['ENCFF282NDD.bigWig']	['ENCFF156DOE.bigWig']	['ENCFF420DXE.bigWig']	['ENCFF144CPX.tar.gz']
